"","gene","EC_number","COG","product","MAG"
"26","apaH","3.6.1.41","COG0639","Bis(5'-nucleosyl)-tetraphosphatase, symmetrical","Limnohabitans sp. 1"
"27","rfaH","","COG0250","Transcription antitermination protein RfaH","Limnohabitans sp. 1"
"28","uppS","2.5.1.31","COG0020","Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)","Limnohabitans sp. 1"
"29","bchY","1.3.7.15","","Chlorophyllide reductase 52.5 kDa chain","Limnohabitans sp. 1"
"30","bchX","1.3.7.15","COG1348","Chlorophyllide reductase 35.5 kDa chain","Limnohabitans sp. 1"
"31","lgoD","1.1.1.-","COG1063","L-galactonate-5-dehydrogenase","Limnohabitans sp. 1"
"32","crtF","2.1.1.210","","Demethylspheroidene O-methyltransferase","Limnohabitans sp. 1"
"33","bmrA","3.6.3.-","COG1132","Multidrug resistance ABC transporter ATP-binding/permease protein BmrA","Limnohabitans sp. 1"
"34","phaC","2.3.1.-","COG3243","Poly(3-hydroxyalkanoate) polymerase subunit PhaC","Limnohabitans sp. 1"
"35","cymR","","","HTH-type transcriptional regulator CymR","Limnohabitans sp. 1"
"36","cry2","","COG0415","Cryptochrome-like protein cry2","Limnohabitans sp. 1"
"37","cry","","","Cryptochrome DASH","Limnohabitans sp. 1"
"38","pcaF","2.3.1.174","COG0183","Beta-ketoadipyl-CoA thiolase","Limnohabitans sp. 1"
"39","cc4","","COG2863","Cytochrome c4","Limnohabitans sp. 1"
"40","ydaF","2.3.1.-","COG1670","Putative ribosomal N-acetyltransferase YdaF","Limnohabitans sp. 1"
"41","tamA","","COG0729","Translocation and assembly module subunit TamA","Limnohabitans sp. 1"
"42","tamB","","COG2911","Translocation and assembly module subunit TamB","Limnohabitans sp. 1"
"43","cphB","3.4.15.6","","Cyanophycinase","Limnohabitans sp. 1"
"44","tnpR","","","Transposon Tn3 resolvase","Limnohabitans sp. 1"
"45","btuF","","COG0614","Vitamin B12-binding protein","Limnohabitans sp. 1"
"46","zapA","","COG3027","Cell division protein ZapA","Limnohabitans sp. 1"
"47","hemN","1.3.98.3","COG0635","Oxygen-independent coproporphyrinogen III oxidase","Limnohabitans sp. 1"
"48","fnr","","COG0664","Anaerobic regulatory protein","Limnohabitans sp. 1"
"49","coxS","1.2.5.3","","Carbon monoxide dehydrogenase small chain","Limnohabitans sp. 1"
"50","xdhA","1.17.1.4","COG1529","Putative xanthine dehydrogenase molybdenum-binding subunit XdhA","Limnohabitans sp. 1"
"51","fadD","6.2.1.3","COG0318","Long-chain-fatty-acid--CoA ligase","Limnohabitans sp. 1"
"52","panS","","COG0385","Pantothenate precursors transporter PanS","Limnohabitans sp. 1"
"53","yohK","","COG1346","Inner membrane protein YohK","Limnohabitans sp. 1"
"54","lrgA","","","Antiholin-like protein LrgA","Limnohabitans sp. 1"
"55","acoR","","COG3284","Acetoin catabolism regulatory protein","Limnohabitans sp. 1"
"56","tupA","","","Tungstate-binding protein TupA","Limnohabitans sp. 1"
"57","glnQ","","COG1126","Glutamine transport ATP-binding protein GlnQ","Limnohabitans sp. 1"
"58","tupB","","","Tungstate uptake system permease protein TupB","Limnohabitans sp. 1"
"59","dctM","","COG1593","C4-dicarboxylate TRAP transporter large permease protein DctM","Limnohabitans sp. 1"
"60","takP","","COG4663","Alpha-keto acid-binding periplasmic protein TakP","Limnohabitans sp. 1"
"61","uvrD","3.6.4.12","COG0210","DNA helicase II","Limnohabitans sp. 1"
"62","slyD","5.2.1.8","COG1047","FKBP-type peptidyl-prolyl cis-trans isomerase SlyD","Limnohabitans sp. 1"
"63","thrB","2.7.1.39","COG2334","Homoserine kinase","Limnohabitans sp. 1"
"64","hemA","1.2.1.70","COG0373","Glutamyl-tRNA reductase","Limnohabitans sp. 1"
"65","prfA","","COG0216","Peptide chain release factor RF1","Limnohabitans sp. 1"
"66","prmC","2.1.1.297","COG2890","Release factor glutamine methyltransferase","Limnohabitans sp. 1"
"67","grxD","","COG0278","Glutaredoxin 4","Limnohabitans sp. 1"
"68","mltC","","","Membrane-bound lytic murein transglycosylase C","Limnohabitans sp. 1"
"69","proS","6.1.1.15","COG0442","Proline--tRNA ligase","Limnohabitans sp. 1"
"70","rppH","3.6.1.-","COG0494","RNA pyrophosphohydrolase","Limnohabitans sp. 1"
"71","proB","2.7.2.11","","Glutamate 5-kinase","Limnohabitans sp. 1"
"72","hisC2","2.6.1.9","COG0079","Histidinol-phosphate aminotransferase 2","Limnohabitans sp. 1"
"73","hisB","","COG0131","Histidine biosynthesis bifunctional protein HisB","Limnohabitans sp. 1"
"74","hisH","2.4.2.-","COG0118","Imidazole glycerol phosphate synthase subunit HisH","Limnohabitans sp. 1"
"75","mdtC","","","Multidrug resistance protein MdtC","Limnohabitans sp. 1"
"76","pcm","2.1.1.77","COG2518","Protein-L-isoaspartate O-methyltransferase","Limnohabitans sp. 1"
"77","tolC","","COG1538","Outer membrane protein TolC","Limnohabitans sp. 1"
"78","waaA","2.4.99.12","COG1519","3-deoxy-D-manno-octulosonic acid transferase","Limnohabitans sp. 1"
"79","mshA","2.4.1.250","COG0438","D-inositol 3-phosphate glycosyltransferase","Limnohabitans sp. 1"
"80","wbbL","2.4.1.289","COG1216","N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase","Limnohabitans sp. 1"
"81","algC","5.4.2.2","","Phosphomannomutase/phosphoglucomutase","Limnohabitans sp. 1"
"82","ogt","2.1.1.63","COG0350","Methylated-DNA--protein-cysteine methyltransferase","Limnohabitans sp. 1"
"83","yijE","","","putative cystine transporter YijE","Limnohabitans sp. 1"
"84","rlmN","2.1.1.192","","putative dual-specificity RNA methyltransferase RlmN","Limnohabitans sp. 1"
"85","slyX","","","Protein SlyX","Limnohabitans sp. 1"
"86","metK","2.5.1.6","COG0192","S-adenosylmethionine synthase","Limnohabitans sp. 1"
"87","macA","","COG0845","Macrolide export protein MacA","Limnohabitans sp. 1"
"88","amiC","3.5.1.4","COG0154","Putative amidase AmiC","Limnohabitans sp. 1"
"89","traC","2.7.7.-","","DNA primase TraC","Limnohabitans sp. 1"
"90","livH","","COG0559","High-affinity branched-chain amino acid transport system permease protein LivH","Limnohabitans sp. 1"
"91","braC","","COG0683","Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein","Limnohabitans sp. 1"
"92","dmdB","6.2.1.44","COG0318","3-methylmercaptopropionyl-CoA ligase","Limnohabitans sp. 1"
"93","occP","","","Octopine permease ATP-binding protein P","Limnohabitans sp. 1"
"94","yecS","","COG0765","L-cystine transport system permease protein YecS","Limnohabitans sp. 1"
"95","glnP","","COG0765","Glutamine transport system permease protein GlnP","Limnohabitans sp. 1"
"96","glnH","","COG0834","ABC transporter glutamine-binding protein GlnH","Limnohabitans sp. 1"
"97","hcnB","1.4.99.5","","Hydrogen cyanide synthase subunit HcnB","Limnohabitans sp. 1"
"98","thiO","1.4.3.19","COG0665","Glycine oxidase","Limnohabitans sp. 1"
"99","yagE","4.1.2.51","COG0329","Putative 2-dehydro-3-deoxy-D-gluconate aldolase YagE","Limnohabitans sp. 1"
"100","yabJ","3.5.99.10","COG0251","2-iminobutanoate/2-iminopropanoate deaminase","Limnohabitans sp. 1"
"101","gsiB","","COG0747","Glutathione-binding protein GsiB","Limnohabitans sp. 1"
"102","gsiC","","COG0601","Glutathione transport system permease protein GsiC","Limnohabitans sp. 1"
"103","ddpC","","COG1173","putative D,D-dipeptide transport system permease protein DdpC","Limnohabitans sp. 1"
"104","oppD","","COG0444","Oligopeptide transport ATP-binding protein OppD","Limnohabitans sp. 1"
"105","oppF","","COG4608","Oligopeptide transport ATP-binding protein OppF","Limnohabitans sp. 1"
"106","hexR","","COG1737","HTH-type transcriptional regulator HexR","Limnohabitans sp. 1"
"107","dan","3.5.1.81","","D-aminoacylase","Limnohabitans sp. 1"
"108","ydcO","","COG3135","Inner membrane protein YdcO","Limnohabitans sp. 1"
"109","ltnD","1.1.1.411","COG2084","L-threonate dehydrogenase","Limnohabitans sp. 1"
"110","dcd","3.5.4.13","","dCTP deaminase","Limnohabitans sp. 1"
"111","moaC","4.6.1.17","COG0315","Cyclic pyranopterin monophosphate synthase","Limnohabitans sp. 1"
"112","fixL","2.7.13.3","","Sensor protein FixL","Limnohabitans sp. 1"
"113","recX","","COG2137","Regulatory protein RecX","Limnohabitans sp. 1"
"114","recA","","COG0468","Protein RecA","Limnohabitans sp. 1"
"115","tctD","","COG0745","Transcriptional regulatory protein tctD","Limnohabitans sp. 1"
"116","qseC","2.7.13.3","","Sensor protein QseC","Limnohabitans sp. 1"
"117","gstA","2.5.1.18","COG0625","Glutathione S-transferase GstA","Limnohabitans sp. 1"
"118","birA","6.3.4.15","COG0340","Bifunctional ligase/repressor BirA","Limnohabitans sp. 1"
"119","corA","","COG0598","Magnesium transport protein CorA","Limnohabitans sp. 1"
"120","mtnN","3.2.2.9","COG0775","5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase","Limnohabitans sp. 1"
"121","pntB","1.6.1.2","COG1282","NAD(P) transhydrogenase subunit beta","Limnohabitans sp. 1"
"122","pntA","1.6.1.2","COG3288","NAD(P) transhydrogenase subunit alpha","Limnohabitans sp. 1"
"123","nudJ","3.6.1.-","","Phosphatase NudJ","Limnohabitans sp. 1"
"124","yfcA","","COG0730","putative membrane transporter protein YfcA","Limnohabitans sp. 1"
"125","patA","2.3.1.-","COG1696","Peptidoglycan O-acetyltransferase","Limnohabitans sp. 1"
"126","mnmA","2.8.1.13","COG0482","tRNA-specific 2-thiouridylase MnmA","Limnohabitans sp. 1"
"127","ifcA","1.3.5.4","COG1053","Fumarate reductase flavoprotein subunit","Limnohabitans sp. 1"
"128","fabG","1.1.1.100","","3-oxoacyl-[acyl-carrier-protein] reductase FabG","Limnohabitans sp. 1"
"129","cynR","","","HTH-type transcriptional regulator CynR","Limnohabitans sp. 1"
"130","tehA","","COG1275","Tellurite resistance protein TehA","Limnohabitans sp. 1"
"131","ssb","","","Single-stranded DNA-binding protein","Limnohabitans sp. 1"
"132","yajR","","COG0477","Inner membrane transport protein YajR","Limnohabitans sp. 1"
"133","glxR","1.1.1.60","COG2084","2-hydroxy-3-oxopropionate reductase","Limnohabitans sp. 1"
"134","yggS","","COG0325","Pyridoxal phosphate homeostasis protein","Limnohabitans sp. 1"
"135","btuB","","COG4206","Vitamin B12 transporter BtuB","Limnohabitans sp. 1"
"136","gmhA","5.3.1.28","","Phosphoheptose isomerase","Limnohabitans sp. 1"
"137","rsmI","2.1.1.198","COG0313","Ribosomal RNA small subunit methyltransferase I","Limnohabitans sp. 1"
"138","comR","","","HTH-type transcriptional repressor ComR","Limnohabitans sp. 1"
"139","dmdC","1.3.8.-","COG1960","3-methylmercaptopropionyl-CoA dehydrogenase","Limnohabitans sp. 1"
"140","paaF","4.2.1.17","COG1024","2,3-dehydroadipyl-CoA hydratase","Limnohabitans sp. 1"
"141","atm1","","COG5265","ATM1-type heavy metal exporter","Limnohabitans sp. 1"
"142","yjiE","","","HTH-type transcriptional regulator YjiE","Limnohabitans sp. 1"
"143","asd","1.2.1.11","COG0136","Aspartate-semialdehyde dehydrogenase","Limnohabitans sp. 1"
"144","truA","5.4.99.12","COG0101","tRNA pseudouridine synthase A","Limnohabitans sp. 1"
"145","trpF","5.3.1.24","COG0135","N-(5'-phosphoribosyl)anthranilate isomerase","Limnohabitans sp. 1"
"146","mch","4.2.1.148","COG2030","Mesaconyl-CoA hydratase","Limnohabitans sp. 1"
"147","ygfF","1.-.-.-","","putative oxidoreductase YgfF","Limnohabitans sp. 1"
"148","nsaD","5.99.1.4","","2-hydroxychromene-2-carboxylate isomerase","Limnohabitans sp. 1"
"149","clcD","3.1.1.45","","Carboxymethylenebutenolidase","Limnohabitans sp. 1"
"150","hemB","4.2.1.24","COG0113","Delta-aminolevulinic acid dehydratase","Limnohabitans sp. 1"
"151","fdx4","","COG3411","Ferredoxin, 2Fe-2S","Limnohabitans sp. 1"
"152","dacC","3.4.16.4","COG1686","D-alanyl-D-alanine carboxypeptidase DacC","Limnohabitans sp. 1"
"153","rpsL","","COG0048","30S ribosomal protein S12","Limnohabitans sp. 1"
"154","nlpD","","COG0739","Murein hydrolase activator NlpD","Limnohabitans sp. 1"
"155","cdiA2","3.1.-.-","","tRNA nuclease CdiA-2","Limnohabitans sp. 1"
"156","hemX","","COG2959","Protein HemX","Limnohabitans sp. 1"
"157","hemD","4.2.1.75","COG1587","Uroporphyrinogen-III synthase","Limnohabitans sp. 1"
"158","hemC","2.5.1.61","COG0181","Porphobilinogen deaminase","Limnohabitans sp. 1"
"159","flhB","","COG1377","Flagellar biosynthetic protein FlhB","Limnohabitans sp. 1"
"160","fliP","","COG1338","Flagellar biosynthetic protein FliP","Limnohabitans sp. 1"
"161","fliN","","COG1886","Flagellar motor switch protein FliN","Limnohabitans sp. 1"
"162","fliM","","COG1868","Flagellar motor switch protein FliM","Limnohabitans sp. 1"
"163","flhA","","COG1298","Flagellar biosynthesis protein FlhA","Limnohabitans sp. 1"
"164","srp54","","","Signal recognition particle 54 kDa protein","Limnohabitans sp. 1"
"165","ylxH","","COG0455","Flagellum site-determining protein YlxH","Limnohabitans sp. 1"
"166","fliA","","COG1191","RNA polymerase sigma factor FliA","Limnohabitans sp. 1"
"167","fliS","","COG1516","Flagellar secretion chaperone FliS","Limnohabitans sp. 1"
"168","hemH","4.99.1.1","COG0276","Ferrochelatase","Limnohabitans sp. 1"
"169","yigB","3.1.3.104","COG1011","5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB","Limnohabitans sp. 1"
"170","gstB","2.5.1.18","COG0625","Glutathione S-transferase GstB","Limnohabitans sp. 1"
"171","crtB","2.5.1.-","COG1562","Phytoene synthase","Limnohabitans sp. 1"
"172","mdtA","","","Multidrug resistance protein MdtA","Limnohabitans sp. 1"
"173","atoC","","COG2204","Regulatory protein AtoC","Limnohabitans sp. 1"
"174","fliE","","COG1677","Flagellar hook-basal body complex protein FliE","Limnohabitans sp. 1"
"175","fliF","","COG1766","Flagellar M-ring protein","Limnohabitans sp. 1"
"176","fliG","","COG1536","Flagellar motor switch protein FliG","Limnohabitans sp. 1"
"177","fliI","3.6.3.14","COG1157","Flagellum-specific ATP synthase","Limnohabitans sp. 1"
"178","kdgR","","COG1414","Transcriptional regulator KdgR","Limnohabitans sp. 1"
"179","ugpC","3.6.3.20","COG3839","sn-glycerol-3-phosphate import ATP-binding protein UgpC","Limnohabitans sp. 1"
"180","potB","","COG1176","Spermidine/putrescine transport system permease protein PotB","Limnohabitans sp. 1"
"181","ydcV","","","Inner membrane ABC transporter permease protein YdcV","Limnohabitans sp. 1"
"182","hcnA","1.4.99.5","COG0446","Hydrogen cyanide synthase subunit HcnA","Limnohabitans sp. 1"
"183","abo","1.5.3.19","","4-methylaminobutanoate oxidase (formaldehyde-forming)","Limnohabitans sp. 1"
"184","apt","2.4.2.7","","Adenine phosphoribosyltransferase","Limnohabitans sp. 1"
"185","kefC","","COG0475","Glutathione-regulated potassium-efflux system protein KefC","Limnohabitans sp. 1"
"186","kdsD","5.3.1.13","COG0517","Arabinose 5-phosphate isomerase KdsD","Limnohabitans sp. 1"
"187","kdsC","3.1.3.45","COG1778","3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC","Limnohabitans sp. 1"
"188","lptC","","","Lipopolysaccharide export system protein LptC","Limnohabitans sp. 1"
"189","amtB","","","Ammonia channel","Limnohabitans sp. 1"
"190","cas2","3.1.-.-","","CRISPR-associated endoribonuclease Cas2","Limnohabitans sp. 1"
"191","cas1-1","3.1.-.-","","CRISPR-associated endonuclease Cas1 1","Limnohabitans sp. 1"
"192","cas5d","3.1.-.-","","CRISPR pre-crRNA endoribonuclease Cas5d","Limnohabitans sp. 1"
"193","pyrF","4.1.1.23","COG0284","Orotidine 5'-phosphate decarboxylase","Limnohabitans sp. 1"
"194","yedA","","","putative inner membrane transporter YedA","Limnohabitans sp. 1"
"195","lpxC","3.5.1.108","COG0774","UDP-3-O-acyl-N-acetylglucosamine deacetylase","Limnohabitans sp. 1"
"196","ais","5.3.3.7","","Aconitate isomerase","Limnohabitans sp. 1"
"197","nicB","1.17.2.1","COG1529","Nicotinate dehydrogenase subunit B","Limnohabitans sp. 1"
"198","nicA","1.17.2.1","COG2080","Nicotinate dehydrogenase subunit A","Limnohabitans sp. 1"
"199","yisK","","COG0179","putative protein YisK","Limnohabitans sp. 1"
"200","frlR","","COG2188","putative fructoselysine utilization operon transcriptional repressor","Limnohabitans sp. 1"
"201","yibF","","COG0625","putative GST-like protein YibF","Limnohabitans sp. 1"
"202","rpmH","","COG0230","50S ribosomal protein L34","Limnohabitans sp. 1"
"203","rnpA","3.1.26.5","","Ribonuclease P protein component","Limnohabitans sp. 1"
"204","yidD","","COG0759","Putative membrane protein insertion efficiency factor","Limnohabitans sp. 1"
"205","yidC","","","Membrane protein insertase YidC","Limnohabitans sp. 1"
"206","mnmE","3.6.-.-","COG0486","tRNA modification GTPase MnmE","Limnohabitans sp. 1"
"207","uhpA","","COG2197","Transcriptional regulatory protein UhpA","Limnohabitans sp. 1"
"208","fae","4.2.1.147","COG1795","5,6,7,8-tetrahydromethanopterin hydro-lyase","Limnohabitans sp. 1"
"209","iolS","1.1.1.-","COG0667","Aldo-keto reductase IolS","Limnohabitans sp. 1"
"210","ptsJ","","COG1167","Vitamin B6 salvage pathway transcriptional repressor PtsJ","Limnohabitans sp. 1"
"211","alkJ","1.1.99.-","","Alcohol dehydrogenase [acceptor]","Limnohabitans sp. 1"
"212","acuI","1.3.1.84","COG0604","putative acrylyl-CoA reductase AcuI","Limnohabitans sp. 1"
"213","pat","2.3.1.-","COG0454","Protein lysine acetyltransferase Pat","Limnohabitans sp. 1"
"214","mnmG","","COG0445","tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG","Limnohabitans sp. 1"
"215","rsmG","2.1.1.170","COG0357","Ribosomal RNA small subunit methyltransferase G","Limnohabitans sp. 1"
"216","nuoM","1.6.5.11","COG1008","NADH-quinone oxidoreductase subunit M","Limnohabitans sp. 1"
"217","nuoN","1.6.5.11","COG1007","NADH-quinone oxidoreductase subunit N","Limnohabitans sp. 1"
"218","nudF","3.6.1.13","COG0494","ADP-ribose pyrophosphatase","Limnohabitans sp. 1"
"219","arfB","3.1.1.29","COG1186","Peptidyl-tRNA hydrolase ArfB","Limnohabitans sp. 1"
"220","nadK","2.7.1.23","COG0061","NAD kinase","Limnohabitans sp. 1"
"221","hrcA","","COG1420","Heat-inducible transcription repressor HrcA","Limnohabitans sp. 1"
"222","apc4","6.4.1.8","COG0146","Acetophenone carboxylase delta subunit","Limnohabitans sp. 1"
"223","apc3","6.4.1.8","COG0145","Acetophenone carboxylase gamma subunit","Limnohabitans sp. 1"
"224","aldA","1.2.1.3","","Putative aldehyde dehydrogenase AldA","Limnohabitans sp. 1"
"225","ilvB","2.2.1.6","COG0028","Acetolactate synthase isozyme 1 large subunit","Limnohabitans sp. 1"
"226","proA","4.1.3.16","","4-hydroxy-4-methyl-2-oxoglutarate aldolase/4-carboxy-4-hydroxy-2-oxoadipate aldolase","Limnohabitans sp. 1"
"227","ilvE","2.6.1.42","COG0115","Branched-chain-amino-acid aminotransferase","Limnohabitans sp. 1"
"228","cysL","","COG0583","HTH-type transcriptional regulator CysL","Limnohabitans sp. 1"
"229","gltC","","","HTH-type transcriptional regulator GltC","Limnohabitans sp. 1"
"230","gsiD","","COG1173","Glutathione transport system permease protein GsiD","Limnohabitans sp. 1"
"231","dppA","","COG0747","Periplasmic dipeptide transport protein","Limnohabitans sp. 1"
"232","greB","","COG0782","Transcription elongation factor GreB","Limnohabitans sp. 1"
"233","spoT","","COG0317","Bifunctional (p)ppGpp synthase/hydrolase SpoT","Limnohabitans sp. 1"
"234","rpoZ","2.7.7.6","","DNA-directed RNA polymerase subunit omega","Limnohabitans sp. 1"
"235","gmk","2.7.4.8","COG0194","Guanylate kinase","Limnohabitans sp. 1"
"236","alaA","2.6.1.2","COG0436","Glutamate-pyruvate aminotransferase AlaA","Limnohabitans sp. 1"
"237","bcp","1.11.1.15","COG1225","Peroxiredoxin Bcp","Limnohabitans sp. 1"
"238","dnaB","3.6.4.12","COG0305","Replicative DNA helicase","Limnohabitans sp. 1"
"239","rplI","","COG0359","50S ribosomal protein L9","Limnohabitans sp. 1"
"240","rpsR","","COG0238","30S ribosomal protein S18","Limnohabitans sp. 1"
"241","priB","","","Primosomal replication protein N","Limnohabitans sp. 1"
"242","rpsF","","COG0360","30S ribosomal protein S6","Limnohabitans sp. 1"
"243","actP","","COG4147","Cation/acetate symporter ActP","Limnohabitans sp. 1"
"244","yfkJ","3.1.3.48","COG0394","Low molecular weight protein-tyrosine-phosphatase YfkJ","Limnohabitans sp. 1"
"245","cho","3.1.25.-","COG0322","Excinuclease cho","Limnohabitans sp. 1"
"246","rlmJ","2.1.1.266","COG2961","Ribosomal RNA large subunit methyltransferase J","Limnohabitans sp. 1"
"247","rplM","","COG0102","50S ribosomal protein L13","Limnohabitans sp. 1"
"248","rpsI","","COG0103","30S ribosomal protein S9","Limnohabitans sp. 1"
"249","lipA","2.8.1.8","COG0320","Lipoyl synthase","Limnohabitans sp. 1"
"250","fumA","4.2.1.2","COG1838","Fumarate hydratase class I, aerobic","Limnohabitans sp. 1"
"251","murI","5.1.1.3","","Glutamate racemase","Limnohabitans sp. 1"
"252","proP","","","Ectoine/proline transporter ProP","Limnohabitans sp. 1"
"253","yfcG","1.8.4.-","COG0625","Disulfide-bond oxidoreductase YfcG","Limnohabitans sp. 1"
"254","dadX","5.1.1.1","COG0787","Alanine racemase, catabolic","Limnohabitans sp. 1"
"255","acoA","1.1.1.-","COG1071","Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha","Limnohabitans sp. 1"
"256","bfmBAB","1.2.4.4","COG0022","2-oxoisovalerate dehydrogenase subunit beta","Limnohabitans sp. 1"
"257","teaB","","COG3090","Ectoine TRAP transporter small permease protein TeaB","Limnohabitans sp. 1"
"258","yiaO","","COG1638","2,3-diketo-L-gulonate-binding periplasmic protein YiaO","Limnohabitans sp. 1"
"259","flp","","","Protein flp","Limnohabitans sp. 1"
"260","torD","","","Chaperone protein TorD","Limnohabitans sp. 1"
"261","rsxB","","","Electron transport complex subunit RsxB","Limnohabitans sp. 1"
"262","wecE","2.6.1.59","COG0399","dTDP-4-amino-4,6-dideoxygalactose transaminase","Limnohabitans sp. 1"
"263","arnE","","","4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE","Limnohabitans sp. 1"
"264","pglD","2.3.1.203","COG0110","UDP-N-acetylbacillosamine N-acetyltransferase","Limnohabitans sp. 1"
"265","ycgJ","2.1.1.-","","putative methyltransferase YcgJ","Limnohabitans sp. 1"
"266","gmd","4.2.1.47","COG1089","GDP-mannose 4,6-dehydratase","Limnohabitans sp. 1"
"267","mfpsA","2.4.1.246","COG0438","Mannosylfructose-phosphate synthase","Limnohabitans sp. 1"
"268","tagH","3.6.3.40","","Teichoic acids export ATP-binding protein TagH","Limnohabitans sp. 1"
"269","tagG","","COG1682","Teichoic acid translocation permease protein TagG","Limnohabitans sp. 1"
"270","algA","","COG0662","Alginate biosynthesis protein AlgA","Limnohabitans sp. 1"
"271","umuD","3.4.21.-","COG1974","Protein UmuD","Limnohabitans sp. 1"
"272","mhpD","4.2.1.80","COG3971","2-keto-4-pentenoate hydratase","Limnohabitans sp. 1"
"273","gloB","3.1.2.6","","Hydroxyacylglutathione hydrolase","Limnohabitans sp. 1"
"274","yhjX","","","putative MFS-type transporter YhjX","Limnohabitans sp. 1"
"275","tfdB","1.14.13.20","","2,4-dichlorophenol 6-monooxygenase","Limnohabitans sp. 1"
"276","xlnD","1.14.13.24","","3-hydroxybenzoate 6-hydroxylase 1","Limnohabitans sp. 1"
"277","mdlC","4.1.1.7","","Benzoylformate decarboxylase","Limnohabitans sp. 1"
"278","feaB","1.2.1.39","COG1012","Phenylacetaldehyde dehydrogenase","Limnohabitans sp. 1"
"279","tsaD","2.3.1.234","COG0533","tRNA N6-adenosine threonylcarbamoyltransferase","Limnohabitans sp. 1"
"280","gntR","","","HTH-type transcriptional regulator GntR","Limnohabitans sp. 1"
"281","gnl","3.1.1.17","","Gluconolactonase","Limnohabitans sp. 1"
"282","malK","3.6.3.19","COG3839","Maltose/maltodextrin import ATP-binding protein MalK","Limnohabitans sp. 1"
"283","eltP","","","Erythritol/L-threitol-binding protein","Limnohabitans sp. 1"
"284","ycjO","","COG1175","Inner membrane ABC transporter permease protein YcjO","Limnohabitans sp. 1"
"285","sugB","","COG0395","Trehalose transport system permease protein SugB","Limnohabitans sp. 1"
"286","ybiB","","COG0547","putative protein YbiB","Limnohabitans sp. 1"
"287","sumT","2.1.1.107","COG0007","Uroporphyrinogen-III C-methyltransferase","Limnohabitans sp. 1"
"288","rpsU","","COG0828","30S ribosomal protein S21","Limnohabitans sp. 1"
"289","yqeY","","COG1610","putative protein YqeY","Limnohabitans sp. 1"
"290","gbpR","","","HTH-type transcriptional regulator GbpR","Limnohabitans sp. 1"
"291","spuC","2.6.1.113","COG0161","Putrescine--pyruvate aminotransferase","Limnohabitans sp. 1"
"292","pmbA","3.4.-.-","COG0312","Metalloprotease PmbA","Limnohabitans sp. 1"
"293","mog","2.7.7.75","COG0521","Molybdopterin adenylyltransferase","Limnohabitans sp. 1"
